Country,City,Date,Last 7 Days,Last 30 Days,Last 60 Days,All Time
Kenya,Kiambu,11/16/2025,70,163,194,226
Kenya,Kiambu,11/17/2025,60,141,172,203
Kenya,Kiambu,11/18/2025,53,133,162,195
Kenya,Kiambu,11/19/2025,51,129,157,190
Kenya,Kiambu,11/20/2025,49,130,161,199
Kenya,Kiambu,11/21/2025,47,129,160,199
Kenya,Kiambu,11/22/2025,48,137,167,207
Kenya,Kiambu,11/23/2025,31,106,135,175
Kenya,Kiambu,11/24/2025,31,103,130,167
Kenya,Kiambu,11/25/2025,29,98,125,164
Kenya,Kiambu,11/26/2025,30,101,127,166
Kenya,Kiambu,11/27/2025,35,107,134,172
Kenya,Kiambu,11/28/2025,33,100,129,167
Kenya,Kiambu,11/29/2025,31,100,128,165
Kenya,Kiambu,11/30/2025,26,83,112,143
Kenya,Kiambu,12/1/2025,24,56,81,116
Kenya,Kiambu,12/2/2025,24,57,83,118
Kenya,Kiambu,12/3/2025,27,62,89,128
Kenya,Kiambu,12/4/2025,27,61,89,125
Kenya,Kiambu,12/5/2025,24,60,90,128
Kenya,Kiambu,12/6/2025,23,61,88,126
Kenya,Kiambu,12/7/2025,21,52,79,115
Kenya,Kiambu,12/8/2025,21,53,80,113
Kenya,Kiambu,12/9/2025,19,50,79,110
Kenya,Kiambu,12/10/2025,20,58,87,116
Kenya,Kiambu,12/11/2025,21,57,86,116
Kenya,Kiambu,12/12/2025,20,59,88,119
Kenya,Kiambu,12/13/2025,19,60,89,121
Kenya,Kiambu,12/14/2025,21,56,84,115
Kenya,Kiambu,12/15/2025,18,52,81,117
